Timestamp,LOS_TI_North,LOS_TI_South,TI_North,TI_South
2020-09-03 19:00:00,0.268016472115097,0.13050546444578,0.17635219227192,0.126173142134348
2020-09-03 19:10:00,0.273488538407493,0.144291131653807,0.182281021201805,0.136497706923249
2020-09-03 19:20:00,0.226220613539811,0.142997214257095,0.1330249502591,0.134950735753669
2020-09-03 19:30:00,0.242893276649629,0.162050722672347,0.148288387622855,0.159919783993189
2020-09-03 19:40:00,0.223861124199335,0.157414485895578,0.130660276429637,0.14702537575582
2020-09-03 19:50:00,0.246328505603841,0.181196300173827,0.156135720503067,0.187147428295458
2020-09-03 20:00:00,0.389629856257994,0.430973764886759,0.44833629343632,0.338020945075767
2020-09-03 20:10:00,0.656630877994873,0.36452003443793,0.558268067161648,0.359608579547288
2020-09-03 20:20:00,0.302694231353302,0.176781880352563,0.161494499087049,0.157955066178623
2020-09-03 20:30:00,0.285409190453596,0.140420925932444,0.1668506246494,0.129165137323143
2020-09-03 20:40:00,0.232866945717279,0.149450944095526,0.141332907756973,0.143367465911153
2020-09-03 20:50:00,0.212291474634086,0.175905399668047,0.164619798700324,0.17407590466515
2020-09-03 21:00:00,0.218254045666659,0.131429166979036,0.189147003193166,0.130925477375921
2020-09-03 21:10:00,0.199584151162123,0.159274469085198,0.15375099700315,0.161026691406192
2020-09-03 21:20:00,0.162734279572791,0.17032951921344,0.153189120552599,0.167680967584118
2020-09-03 21:30:00,0.188377447697327,0.174157810723041,0.167758736228453,0.173671296540343
2020-09-03 21:40:00,0.16082631895469,0.144182089913401,0.144325389306297,0.142654245930843
2020-09-03 21:50:00,0.174822941767573,0.183181407425171,0.150554043592494,0.182124217614353
2020-09-03 22:00:00,0.151424244328652,0.141456580093085,0.137395521340199,0.139884075729637
2020-09-03 22:10:00,0.191231759753728,0.200278782198742,0.178210126619864,0.196155387786607
2020-09-03 22:20:00,0.128600055995699,0.165162980786827,0.128668835541579,0.153952186206632
2020-09-03 22:30:00,0.143589267242826,0.146785723288829,0.142466902867303,0.12365492751485
2020-09-03 22:40:00,0.184001135139762,0.171945916104975,0.184741977621485,0.156014385515044
2020-09-03 22:50:00,0.164220839759191,0.150929682519423,0.164821007628686,0.126292684638423
2020-09-03 23:00:00,0.14237514637202,0.174234503171572,0.14198164690326,0.169589542802508
2020-09-03 23:10:00,0.15009597306531,0.162169823230404,0.151829051585977,0.156411382303887
2020-09-03 23:20:00,0.163617422525959,0.155243834253046,0.16420896008478,0.134704727757507
2020-09-03 23:30:00,0.135244294366825,0.146786345426965,0.132361618008414,0.108293985677359
2020-09-03 23:40:00,0.135072276595598,0.134068994263619,0.135322168664851,0.108832035506652
2020-09-03 23:50:00,0.127280053735634,0.105682336856423,0.128993480078572,0.09235796856304
2020-09-04 00:00:00,0.113726351596591,0.137233283914217,0.118450317045033,0.121575642353433
2020-09-04 00:10:00,0.0742138906037847,0.0939672185140732,0.075546608481606,0.105592681442781
2020-09-04 00:20:00,0.0953595851281555,0.0931500546282156,0.0931359258239812,0.0853867883946103
2020-09-04 00:30:00,0.121352485571139,0.116132034568436,0.110689297155922,0.108795575284071
2020-09-04 00:40:00,0.12381382821805,0.0993232626875515,0.111303222959766,0.10040739386147
2020-09-04 00:50:00,0.135781681960756,0.0983600869472253,0.111413028160023,0.0992207663990007
2020-09-04 01:00:00,0.14925292257234,0.11482704057099,0.131205040411751,0.113060293666799
2020-09-04 01:10:00,0.168394375165766,0.121139816655305,0.143289931253835,0.123174816745273
2020-09-04 01:20:00,0.158348708726277,0.10647392357466,0.12270822586768,0.108915814808751
2020-09-04 01:30:00,0.107398327298537,0.0931784070894378,0.0729736097983973,0.0915609524804999
2020-09-04 01:40:00,0.122203904814902,0.131609104858245,0.0976318365218802,0.128188007072993
2020-09-04 01:50:00,0.155101018254746,0.116242127210177,0.139999587838381,0.112345999657653
2020-09-04 02:00:00,0.16019892566929,0.130233014813081,0.138215597524775,0.127248878957523
2020-09-04 02:10:00,0.183886151309893,0.12639460012841,0.145300051851678,0.127937824190942
2020-09-04 02:20:00,0.136279713857564,0.0980723237702689,0.113378408564582,0.0977553491982779
2020-09-04 02:30:00,0.149721731291465,0.0985391723065417,0.112984528021134,0.0986525571097437
2020-09-04 02:40:00,0.146136256089933,0.111804779234181,0.110746291662532,0.112121770581041
2020-09-04 02:50:00,0.162070891729294,0.13194889868711,0.132670576122218,0.132044393648969
2020-09-04 03:00:00,0.152253375691934,0.118644109438386,0.131426441868398,0.117169956321603
2020-09-04 03:10:00,0.172667916445696,0.119021795531157,0.145155947048066,0.118310881788456
2020-09-04 03:20:00,0.139527816917569,0.124606842376771,0.115134745571549,0.124508359651472
2020-09-04 03:30:00,0.162560749261247,0.127774044005652,0.133627731621416,0.127416851012701
2020-09-04 03:40:00,0.19425266257521,0.135990378922678,0.169293185921165,0.135718907859036
2020-09-04 03:50:00,0.184468545804206,0.12477975662884,0.157014992126459,0.125254630676651
2020-09-04 04:00:00,0.16825179828713,0.120123011762766,0.143224359955564,0.121898503761084
2020-09-04 04:10:00,0.167883373386784,0.111545680164693,0.147010385149825,0.111807894315936
2020-09-04 04:20:00,0.146842138934276,0.122264800801617,0.123322412150824,0.121823269212879
2020-09-04 04:30:00,0.16252211900852,0.124863756100078,0.120889425234209,0.124205941175469
2020-09-04 04:40:00,0.169867189949724,0.141659456573816,0.136211605759352,0.14067933348543
2020-09-04 04:50:00,0.192900229761467,0.144240141282148,0.171065057094206,0.142892524176962
2020-09-04 05:00:00,0.197039836918765,0.161952674136752,0.171561753898143,0.161444059453921
