Timestamp,LOSindex,Distance,RWS,DRWS,CNR,Tilt,Roll,RWSStatus,OverrunStatus
2020-09-03T19:00:01.547+00:00,2,178,8.01,1.22,-3.68,4.99,-0.02,1,1
2020-09-03T19:00:05.547+00:00,2,178,7.06,1.18,-4.34,4.99,0.05,1,1
2020-09-03T19:00:09.547+00:00,2,178,6.7,1.19,-4.55,5,0.02,1,1
2020-09-03T19:00:13.547+00:00,2,178,6.72,1.15,-4.3,5.02,-0.06,1,1
2020-09-03T19:00:17.547+00:00,2,178,7.14,1.08,-4.62,5,-0.03,1,1
2020-09-03T19:00:21.547+00:00,2,178,7.77,1.22,-4.37,4.98,-0.06,1,1
2020-09-03T19:00:25.547+00:00,2,178,7.26,1.26,-4.84,5,-0.03,1,1
2020-09-03T19:00:29.547+00:00,2,178,7.52,1.19,-2.94,4.99,-0.03,1,1
2020-09-03T19:00:33.547+00:00,2,178,6.87,1.08,-3.3,4.99,-0.06,1,1
2020-09-03T19:00:37.547+00:00,2,178,7.69,1.19,-3.51,5,-0.02,1,1
2020-09-03T19:00:41.547+00:00,2,178,7.93,1.18,-3.48,4.97,-0.02,1,1
2020-09-03T19:00:45.547+00:00,2,178,6.75,1.22,-4.04,5,-0.04,1,1
2020-09-03T19:00:49.547+00:00,2,178,6.41,1.15,-4.06,4.95,0.02,1,1
2020-09-03T19:00:53.547+00:00,2,178,7.23,1.1,-4.14,4.99,-0.01,1,1
2020-09-03T19:00:57.547+00:00,2,178,7.24,1.18,-4.37,4.99,-0.01,1,1
2020-09-03T19:01:01.547+00:00,2,178,6.58,1.15,-3.22,5.05,-0.03,1,1
2020-09-03T19:01:05.547+00:00,2,178,6.96,1.44,-3.37,4.98,-0.05,1,1
2020-09-03T19:01:09.547+00:00,2,178,5.84,1.15,-3.38,4.99,0,1,1
2020-09-03T19:01:13.547+00:00,2,178,6.87,1.19,-3.5,5.01,0,1,1
2020-09-03T19:01:17.547+00:00,2,178,6.3,1.13,-3.52,5.05,-0.06,1,1
2020-09-03T19:01:21.547+00:00,2,178,6.6,1.19,-3.64,4.99,-0.05,1,1
2020-09-03T19:01:25.547+00:00,2,178,6.02,1.23,-4.07,5.03,-0.06,1,1
2020-09-03T19:01:29.547+00:00,2,178,6.27,1.23,-3.69,5,-0.06,1,1
2020-09-03T19:01:33.547+00:00,2,178,6.31,1.13,-4.02,4.96,0.02,1,1
2020-09-03T19:01:37.547+00:00,2,178,6.68,1.1,-3.79,4.99,-0.02,1,1
2020-09-03T19:01:41.547+00:00,2,178,7.13,1.15,-4.05,5,0,1,1
2020-09-03T19:01:45.547+00:00,2,178,6.49,1.13,-4.1,5,-0.03,1,1
2020-09-03T19:01:49.547+00:00,2,178,6.82,1.08,-4.32,5.01,0.01,1,1
2020-09-03T19:01:53.547+00:00,2,178,6.83,1.15,-4.59,5.06,0.02,1,1
2020-09-03T19:01:57.547+00:00,2,178,6.22,1.19,-4.37,4.99,0.01,1,1
2020-09-03T19:02:01.547+00:00,2,178,5.7,1.27,-4.04,5,0,1,1
2020-09-03T19:02:05.547+00:00,2,178,5.86,1.3,-4.44,4.98,0,1,1
2020-09-03T19:02:09.547+00:00,2,178,5.97,1.15,-4.34,4.98,0.02,1,1
2020-09-03T19:02:13.547+00:00,2,178,6.1,1.08,-4.12,4.99,-0.05,1,1
2020-09-03T19:02:17.547+00:00,2,178,6.59,1.13,-4.01,5,-0.07,1,1
2020-09-03T19:02:21.547+00:00,2,178,6.18,1.13,-4.42,4.99,-0.03,1,1
2020-09-03T19:02:25.547+00:00,2,178,6.39,1.15,-3.98,5.03,0.04,1,1
2020-09-03T19:02:29.547+00:00,2,178,7.34,1.1,-3.45,5.09,-0.03,1,1
