Timestamp,LOSindex,Distance,RWS,DRWS,CNR,Tilt,Roll,RWSStatus,OverrunStatus
2020-09-03T19:04:22.547+00:00,3,178,6.94,1.27,-5.5,4.98,-0.03,1,1
2020-09-03T19:04:26.547+00:00,3,178,4.78,1.19,-5.46,5.08,-0.01,1,1
2020-09-03T19:04:30.547+00:00,3,178,4.89,1.15,-5.18,5.03,-0.03,1,1
2020-09-03T19:04:34.547+00:00,3,178,5.4,1.15,-5.37,5.02,0,1,1
2020-09-03T19:04:38.546+00:00,3,178,3.23,1.22,-5.38,4.99,-0.06,1,1
2020-09-03T19:04:42.546+00:00,3,178,2.94,1.18,-5.59,5.01,0.01,1,1
2020-09-03T19:04:46.547+00:00,3,178,4.68,1.15,-5.18,5,0,1,1
2020-09-03T19:04:50.546+00:00,3,178,2.68,1.32,-5.63,5.02,-0.03,1,1
2020-09-03T19:04:54.546+00:00,3,178,2.69,1.18,-5.41,4.98,-0.02,1,1
2020-09-03T19:04:58.547+00:00,3,178,3.66,1.22,-5.29,4.98,-0.06,1,1
2020-09-03T19:05:02.547+00:00,3,178,4.59,1.18,-5.17,4.99,-0.05,1,1
2020-09-03T19:05:06.547+00:00,3,178,3.29,1.2,-5.35,5.02,0.01,1,1
2020-09-03T19:05:10.546+00:00,3,178,4.15,1.13,-5.27,5.02,0.03,1,1
2020-09-03T19:05:14.547+00:00,3,178,2.87,1.32,-3.97,4.98,0.01,1,1
2020-09-03T19:05:18.547+00:00,3,178,4.42,1.2,-4.35,4.97,-0.01,1,1
2020-09-03T19:05:22.547+00:00,3,178,3.68,1.18,-4.26,5.02,0,1,1
2020-09-03T19:05:26.546+00:00,3,178,3.13,1.15,-4.84,4.98,-0.02,1,1
2020-09-03T19:05:30.547+00:00,3,178,2.76,1.13,-4.88,4.98,-0.01,1,1
2020-09-03T19:05:34.547+00:00,3,178,2.92,1.15,-5,5.02,0.02,1,1
2020-09-03T19:05:38.547+00:00,3,178,3.67,1.35,-5.02,4.99,0.07,1,1
2020-09-03T19:05:42.546+00:00,3,178,3.49,1.39,-4.98,5.03,0.08,1,1
2020-09-03T19:05:46.547+00:00,3,178,3.59,1.36,-4.96,5.05,0.03,1,1
2020-09-03T19:05:50.547+00:00,3,178,3.14,1.32,-5.1,4.98,0,1,1
2020-09-03T19:05:54.546+00:00,3,178,2.89,1.15,-5.03,5,0,1,1
2020-09-03T19:05:58.547+00:00,3,178,3.34,1.51,-5.26,4.96,0.01,1,1
2020-09-03T19:06:02.547+00:00,3,178,3.9,1.13,-5.25,4.99,-0.05,1,1
2020-09-03T19:06:06.546+00:00,3,178,3.2,1.22,-5.09,5.02,-0.09,1,1
2020-09-03T19:06:10.547+00:00,3,178,2.89,1.22,-5.19,4.98,0.03,1,1
2020-09-03T19:06:14.547+00:00,3,178,2.53,1.27,-4.78,4.96,-0.02,1,1
2020-09-03T19:06:18.547+00:00,3,178,2.85,1.27,-5.32,5.02,-0.03,1,1
2020-09-03T19:06:22.547+00:00,3,178,3.66,1.15,-5.08,5.01,-0.04,1,1
2020-09-03T19:06:26.546+00:00,3,178,3.01,1.15,-5.3,4.99,-0.01,1,1
2020-09-03T19:06:30.547+00:00,3,178,2.9,1.15,-5.51,5,0,1,1
2020-09-03T19:06:34.547+00:00,3,178,2.71,1.15,-5.58,5,-0.03,1,1
2020-09-03T19:06:38.547+00:00,3,178,3.33,1.3,-5.47,5.01,0,1,1
2020-09-03T19:06:42.547+00:00,3,178,3.71,1.2,-5.54,5,0,1,1
2020-09-03T19:06:46.547+00:00,3,178,4.23,1.35,-5.42,5,-0.04,1,1
2020-09-03T19:06:50.547+00:00,3,178,3.56,1.3,-4.09,4.99,-0.05,1,1
2020-09-03T19:06:54.547+00:00,3,178,3.72,1.27,-4.31,5.03,-0.04,1,1
2020-09-03T19:06:58.546+00:00,3,178,3.27,1.42,-3.86,5.03,-0.08,1,1
2020-09-03T19:07:02.547+00:00,3,178,3.44,1.22,-3.97,4.96,-0.02,1,1
2020-09-03T19:07:06.546+00:00,3,178,2.6,1.15,-4.28,4.99,0.02,1,1
2020-09-03T19:07:10.547+00:00,3,178,3.03,1.51,-3.98,5.02,-0.02,1,1
2020-09-03T19:07:14.546+00:00,3,178,4.13,1.35,-4.41,5.01,-0.01,1,1
2020-09-03T19:07:18.547+00:00,3,178,3.59,1.3,-4.26,5.01,-0.01,1,1
2020-09-03T19:07:22.546+00:00,3,178,3.75,1.39,-4.54,5.03,0,1,1
2020-09-03T19:07:26.547+00:00,3,178,3.68,1.32,-4.15,4.99,-0.01,1,1
2020-09-03T19:07:30.547+00:00,3,178,4.22,1.18,-4.51,4.98,-0.03,1,1
2020-09-03T19:07:34.546+00:00,3,178,4.69,1.3,-4.36,4.99,0,1,1
2020-09-03T19:07:38.547+00:00,3,178,5.19,1.13,-4.36,4.99,-0.05,1,1
2020-09-03T19:07:42.546+00:00,3,178,4.42,1.27,-4.4,5.03,-0.02,1,1
2020-09-03T19:07:46.547+00:00,3,178,3.7,1.18,-4.87,4.98,-0.03,1,1
2020-09-03T19:07:50.547+00:00,3,178,3.69,1.22,-4.89,5,0,1,1
2020-09-03T19:07:54.546+00:00,3,178,4.24,1.15,-4.54,5,-0.07,1,1
2020-09-03T19:07:58.547+00:00,3,178,4.55,1.22,-4.97,5.01,-0.02,1,1
2020-09-03T19:08:02.546+00:00,3,178,4.8,1.2,-5.19,5.01,-0.01,1,1
2020-09-03T19:08:06.547+00:00,3,178,3.96,1.32,-5.23,5.01,-0.01,1,1
2020-09-03T19:08:10.546+00:00,3,178,5.37,1.13,-4.85,5,0.04,1,1
2020-09-03T19:08:14.547+00:00,3,178,5.73,1.13,-4.82,5,0,1,1
2020-09-03T19:08:18.547+00:00,3,178,5.43,1.15,-4.83,4.99,-0.03,1,1
2020-09-03T19:08:22.547+00:00,3,178,5.2,1.22,-4.67,4.99,-0.08,1,1
2020-09-03T19:08:26.547+00:00,3,178,4.71,1.3,-4.58,4.99,-0.02,1,1
2020-09-03T19:08:30.547+00:00,3,178,4.29,1.15,-4.91,4.97,0.02,1,1
2020-09-03T19:08:34.547+00:00,3,178,5.22,1.22,-4.86,4.98,-0.07,1,1
2020-09-03T19:08:38.547+00:00,3,178,5.53,1.15,-5.08,5.09,-0.03,1,1
2020-09-03T19:08:42.547+00:00,3,178,5.72,1.03,-5.01,4.96,-0.03,1,1
2020-09-03T19:08:46.547+00:00,3,178,5.45,1.15,-4.93,4.96,0,1,1
2020-09-03T19:08:50.547+00:00,3,178,4.96,1.22,-4.75,5.03,-0.05,1,1
2020-09-03T19:08:54.547+00:00,3,178,4.55,1.18,-5.11,4.98,-0.06,1,1
2020-09-03T19:08:58.547+00:00,3,178,3.43,1.27,-5.42,4.95,0.01,1,1
2020-09-03T19:09:02.547+00:00,3,178,5.81,1.08,-5.09,5.01,-0.03,1,1
2020-09-03T19:09:06.546+00:00,3,178,5.95,1.3,-5.24,5.04,-0.09,1,1
2020-09-03T19:09:10.546+00:00,3,178,4.68,1.18,-5.24,5,0.01,1,1
2020-09-03T19:09:14.547+00:00,3,178,4.63,1.22,-5.28,4.98,-0.01,1,1
2020-09-03T19:09:18.547+00:00,3,178,4.33,1.32,-5.53,5,-0.03,1,1
2020-09-03T19:09:22.547+00:00,3,178,4.65,1.32,-5.6,5.04,-0.04,1,1
2020-09-03T19:09:26.547+00:00,3,178,4.87,1.22,-5.76,5.02,-0.03,1,1
2020-09-03T19:09:30.546+00:00,3,178,4.01,1.32,-5.95,4.97,-0.01,1,1
2020-09-03T19:09:34.546+00:00,3,178,5.2,1.22,-5.58,5.03,0,1,1
2020-09-03T19:09:38.547+00:00,3,178,5.04,1.22,-5.87,5.04,-0.02,1,1
2020-09-03T19:09:42.547+00:00,3,178,4.79,1.27,-6.14,4.97,0.01,1,1
2020-09-03T19:09:46.547+00:00,3,178,5.49,1.18,-5.7,4.99,-0.04,1,1
2020-09-03T19:09:50.547+00:00,3,178,5.37,1.44,-5.88,5,-0.03,1,1
2020-09-03T19:09:54.547+00:00,3,178,4.8,1.3,-5.93,5.02,-0.03,1,1
2020-09-03T19:09:58.547+00:00,3,178,5.36,1.44,-5.85,5,-0.02,1,1
2020-09-03T19:10:02.547+00:00,3,178,5.97,1.18,-5.97,4.96,-0.02,1,1
2020-09-03T19:10:06.547+00:00,3,178,4.75,1.15,-6,5.02,0,1,1
2020-09-03T19:10:10.546+00:00,3,178,5.03,1.15,-6.17,5,-0.04,1,1
2020-09-03T19:10:14.546+00:00,3,178,4.69,1.3,-6.21,4.98,0,1,1
2020-09-03T19:10:18.547+00:00,3,178,4.54,1.22,-6.28,4.99,0,1,1
